Id,term,chief,name,issue,issue_description,liberal_flag
332US631,1947,Vinson,SIPUEL v. BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA et al.,20050,"desegregation, schools",1
333US147,1947,Vinson,"FISHER v. HURST, CHIEF JUSTICE, ET AL.",20050,"desegregation, schools",0
339US629,1949,Vinson,SWEATT v. PAINTER et al.,20050,"desegregation, schools",1
339US637,1949,Vinson,MCLAURIN v. OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION et al.,20050,"desegregation, schools",1
342US350,1951,Vinson,BRIGGS ET AL. v. ELLIOTT ET AL.,20050,"desegregation, schools",0
347US483,1953,Warren,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,20050,"desegregation, schools",1
347US497,1953,Warren,BOLLING et al. v. SHARPE et al.,20050,"desegregation, schools",1
349US294,1954,Warren,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,20050,"desegregation, schools",1
350US1,1955,Warren,"LUCY et al. v. ADAMS, DEAN OF ADMISSIONS, UNIVERSITY OF ALABAMA",20050,"desegregation, schools",1
350US413,1955,Warren,FLORIDA ex rel. HAWKINS v. BOARD OF CONTROL OF FLORIDA et al.,20050,"desegregation, schools",1
353US230,1956,Warren,PENNSYLVANIA et al. v. BOARD OF DIRECTORS OF CITY TRUSTS OF THE CITY OF PHILADELPHIA,20050,"desegregation, schools",1
357US566,1957,Warren,"AARON et al. v. COOPER et al., MEMBERS OF THE BOARD OF DIRECTORS OF THE LITTLE ROCK, ARKANSAS, INDEPENDENT SCHOOL DISTRICT, et al.",20050,"desegregation, schools",1
358US1,1958,Warren,"COOPER et al., MEMBERS OF THE BOARD OF DIRECTORS OF THE LITTLE ROCK, ARKANSAS, INDEPENDENT SCHOOL DISTRICT, et al. v. AARON et al.",20050,"desegregation, schools",1
364US500,1960,Warren,BUSH et al. v. ORLEANS PARISH SCHOOL BOARD et al.,20050,"desegregation, schools",1
373US668,1962,Warren,"MCNEESE et al. v. BOARD OF EDUCATION FOR COMMUNITY UNIT SCHOOL DISTRICT 187, CAHOKIA, ILLINOIS, et al.",20050,"desegregation, schools",1
373US683,1962,Warren,"GOSS et al. v. BOARD OF EDUCATION OF KNOXVILLE, TENNESSEE, et al.",20050,"desegregation, schools",1
375US391,1963,Warren,GRIFFIN et al. v. COUNTY SCHOOL BOARD OF PRINCE EDWARD COUNTY et al.,20050,"desegregation, schools",1
377US218,1963,Warren,GRIFFIN et al. v. COUNTY SCHOOL BOARD OF PRINCE EDWARD COUNTY et al.,20050,"desegregation, schools",1
377US263,1963,Warren,CALHOUN et al. v. LATIMER et al.,20050,"desegregation, schools",1
382US103,1965,Warren,BRADLEY et al. v. SCHOOL BOARD OF CITY OF RICHMOND et al.,20050,"desegregation, schools",1
382US198,1965,Warren,ROGERS et al. v. PAUL et al.,20050,"desegregation, schools",1
391US430,1967,Warren,GREEN et al. v. COUNTY SCHOOL BOARD OF NEW KENT COUNTY et al.,20050,"desegregation, schools",1
391US443,1967,Warren,RANEY et al. v. BOARD OF EDUCATION OF THE GOULD SCHOOL DISTRICT et al.,20050,"desegregation, schools",1
391US450,1967,Warren,MONROE et al. v. BOARD OF COMMISSIONERS OF THE CITY OF JACKSON et al.,20050,"desegregation, schools",1
393US400,1968,Warren,ALABAMA STATE TEACHERS ASSN. et al. v. ALABAMA PUBLIC SCHOOL AND COLLEGE AUTHORITY et al.,20050,"desegregation, schools",0
395US225,1968,Warren,UNITED STATES v. MONTGOMERY COUNTY BOARD OF EDUCATION et al.,20050,"desegregation, schools",1
396US19,1969,Burger,ALEXANDER et al. v. HOLMES COUNTY BOARD OF EDUCATION et al.,20050,"desegregation, schools",1
396US226,1969,Burger,CARTER et al. v. WEST FELICIANA PARISH SCHOOL BOARD et al.,20050,"desegregation, schools",1
396US269,1969,Burger,DOWELL et al. v. BOARD OF EDUCATION OF OKLAHOMA CITY PUBLIC SCHOOLS et al.,20050,"desegregation, schools",1
396US290,1969,Burger,CARTER et al. v. WEST FELICIANA PARISH SCHOOL BOARD et al.,20050,"desegregation, schools",1
397US232,1969,Burger,"NORTHCROSS et al. v. BOARD OF EDUCATION OF THE MEMPHIS, TENNESSEE, CITY SCHOOLS et al.",20050,"desegregation, schools",1
