receiver,tackler
A.Brown (PIT),D.Hightower (NE)
H.Miller (PIT),J.Mayo (NE)
H.Miller (PIT),P.Chung (NE)
J.Edelman (NE),W.Gay (PIT)
D.Lewis (NE),J.Harrison (PIT)
A.Brown (PIT),D.McCourty (NE)
A.Brown (PIT),J.Collins (NE)
H.Miller (PIT),D.McCourty (NE)
A.Dobson (NE),W.Gay (PIT)
J.Edelman (NE),C.Allen (PIT)
D.Lewis (NE),C.Allen (PIT)
J.Edelman (NE),A.Blake (PIT)
J.Edelman (NE),W.Allen (PIT)
R.Gronkowski (NE),R.Golden (PIT)
D.Heyward (PIT),B.Fletcher (NE)
B.Bolden (NE),M.Mitchell (PIT)
H.Miller (PIT),D.Harmon (NE)
J.Edelman (NE),R.Shazier (PIT)
J.Edelman (NE),M.Mitchell (PIT)
D.Amendola (NE),W.Allen (PIT)
A.Brown (PIT),D.Harmon (NE)
J.Edelman (NE),L.Timmons (PIT)
H.Miller (PIT),R.Ninkovich (NE)
R.Gronkowski (NE),A.Blake (PIT)
D.Lewis (NE),M.Mitchell (PIT)
R.Gronkowski (NE),R.Shazier (PIT)
D.Heyward (PIT),T.Brown (NE)
A.Brown (PIT),M.Butler (NE)
H.Miller (PIT),D.Hightower (NE)
T.Murphy (PIT),B.Fletcher (NE)
E.Royal (CHI),S.Shields (GB)
M.Bennett (CHI),C.Matthews (GB)
A.Jeffery (CHI),C.Hayward (GB)
M.Forte (CHI),C.Matthews (GB)
R.Rodgers (GB),S.McManis (CHI)
E.Lacy (GB),J.Allen (CHI)
R.Rodgers (GB),C.Jones (CHI)
D.Adams (GB),A.Rolle (CHI)
M.Bennett (CHI),M.Hyde (GB)
R.Cobb (GB),S.McManis (CHI)
J.Jones (GB),A.Ball (CHI)
R.Cobb (GB),A.Amos (CHI)
M.Forte (CHI),C.Hayward (GB)
M.Wilson (CHI),S.Shields (GB)
R.Rodgers (GB),A.Rolle (CHI)
E.Lacy (GB),C.Jones (CHI)
M.Bennett (CHI),S.Richardson (GB)
A.Jeffery (CHI),S.Shields (GB)
M.Wilson (CHI),H.Clinton-Dix (GB)
M.Forte (CHI),N.Palmer (GB)
D.Adams (GB),P.McPhee (CHI)
A.Jeffery (CHI),M.Hyde (GB)
A.Jeffery (CHI),S.Richardson (GB)
M.Forte (CHI),S.Shields (GB)
A.Wilson (KC),K.Jackson (HOU)
J.Maclin (KC),J.Joseph (HOU)
N.Washington (HOU),T.Hali (KC)
J.Charles (KC),E.Pleasant (HOU)
K.Mumphery (HOU),M.Peters (KC)
C.Shorts (HOU),J.Fleming (KC)
N.Washington (HOU),M.Peters (KC)
C.Shorts (HOU),M.Peters (KC)
J.Charles (KC),B.Cushing (HOU)
T.Kelce (KC),Q.Demps (HOU)
J.Maclin (KC),K.Jackson (HOU)
J.Maclin (KC),A.Hal (HOU)
K.Davis (KC),K.Johnson (HOU)
N.Washington (HOU),J.Fleming (KC)
A.Blue (HOU),J.Mauga (KC)
N.Washington (HOU),E.Berry (KC)
R.Griffin (HOU),R.Parker (KC)
J.Charles (KC),J.Simon (HOU)
C.Fiedorowicz (HOU),H.Abdullah (KC)
C.Shorts (HOU),D.Ford (KC)
D.Hopkins (HOU),J.Fleming (KC)
C.Polk (HOU),J.Mauga (KC)
A.Wilson (KC),J.Watt (HOU)
A.Sherman (KC),B.Cushing (HOU)
J.Grimes (HOU),H.Abdullah (KC)
T.Kelce (KC),J.Joseph (HOU)
D.Hopkins (HOU),E.Berry (KC)
E.Decker (NYJ),D.Whitner (CLE)
C.Owusu (NYJ),T.Gipson (CLE)
M.Johnson (CLE),D.Harris (NYJ)
G.Barnidge (CLE),C.Pryor (NYJ)
M.Johnson (CLE),D.Revis (NYJ)
G.Barnidge (CLE),M.Gilchrist (NYJ)
J.Dray (CLE),C.Pryor (NYJ)
C.Owusu (NYJ),J.Haden (CLE)
T.Gabriel (CLE),D.Revis (NYJ)
T.Benjamin (CLE),D.Davis (NYJ)
B.Marshall (NYJ),J.Haden (CLE)
C.Owusu (NYJ),T.Williams (CLE)
B.Powell (NYJ),R.Starks (CLE)
B.Marshall (NYJ),T.Williams (CLE)
B.Powell (NYJ),D.Whitner (CLE)
A.Hawkins (CLE),D.Harris (NYJ)
B.Hartline (CLE),M.Williams (NYJ)
C.Owusu (NYJ),B.Mingo (CLE)
A.Hawkins (CLE),M.Gilchrist (NYJ)
T.Benjamin (CLE),M.Williams (NYJ)
I.Crowell (CLE),M.Gilchrist (NYJ)
T.Gabriel (CLE),M.Williams (NYJ)
T.Hilton (IND),R.Darby (BUF)
D.Allen (IND),B.Rambo (BUF)
L.McCoy (BUF),M.Adams (IND)
P.Harvin (BUF),D.Butler (IND)
T.Hilton (IND),B.Rambo (BUF)
D.Moncrief (IND),S.Gilmore (BUF)
C.Clay (BUF),D.Lowery (IND)
P.Harvin (BUF),C.Geathers (IND)
T.Hilton (IND),S.Gilmore (BUF)
R.Woods (BUF),D.Lowery (IND)
D.Moncrief (IND),R.Darby (BUF)
A.Johnson (IND),R.Darby (BUF)
T.Hilton (IND),N.Bradham (BUF)
C.Clay (BUF),D.Butler (IND)
T.Hilton (IND),A.Williams (BUF)
D.Moncrief (IND),B.Rambo (BUF)
L.McCoy (BUF),D.Lowery (IND)
C.Clay (BUF),H.Anderson (IND)
P.Harvin (BUF),J.Brown (IND)
R.Woods (BUF),D.Butler (IND)
A.Johnson (IND),A.Williams (BUF)
A.Johnson (IND),N.Robey (BUF)
D.Moncrief (IND),N.Robey (BUF)
T.Hilton (IND),N.Robey (BUF)
A.Johnson (IND),S.Gilmore (BUF)
C.Clay (BUF),J.Freeman (IND)
F.Gore (IND),N.Bradham (BUF)
P.Dorsett (IND),B.Rambo (BUF)
P.Dorsett (IND),S.Gilmore (BUF)
T.Varga (IND),J.Hughes (BUF)
C.Fleener (IND),N.Bradham (BUF)
A.Roberts (WAS),B.Grimes (MIA)
J.Reed (WAS),N.Suh (MIA)
G.Jennings (MIA),K.Robinson (WAS)
P.Garcon (WAS),W.Aikens (MIA)
J.Landry (MIA),K.Robinson (WAS)
J.Cameron (MIA),T.Robinson (WAS)
D.Williams (MIA),D.Goldson (WAS)
P.Garcon (WAS),Br.McCain (MIA)
J.Reed (WAS),R.Jones (MIA)
P.Garcon (WAS),J.Taylor (MIA)
D.Carrier (WAS),J.Jenkins (MIA)
K.Stills (MIA),D.Amerson (WAS)
J.Cameron (MIA),D.Amerson (WAS)
R.Matthews (MIA),D.Hall (WAS)
J.Landry (MIA),J.Rogers (WAS)
D.Young (WAS),K.Sheppard (MIA)
J.Crowder (WAS),J.Taylor (MIA)
R.Matthews (MIA),P.Riley (WAS)
J.Landry (MIA),T.Knighton (WAS)
G.Jennings (MIA),D.Goldson (WAS)
J.Reed (WAS),J.Jenkins (MIA)
D.Carrier (WAS),K.Misi (MIA)
C.Thompson (WAS),J.Jenkins (MIA)
J.Landry (MIA),D.Hall (WAS)
J.Landry (MIA),T.Murphy (WAS)
A.Roberts (WAS),R.Jones (MIA)
J.Reed (WAS),K.Misi (MIA)
R.Grant (WAS),R.Jones (MIA)
J.Reed (WAS),M.Thomas (MIA)
L.Miller (MIA),D.Hall (WAS)
E.Dickson (CAR),P.Posluszny (JAC)
C.Brown (CAR),T.Smith (JAC)
G.Olsen (CAR),S.Brown (JAC)
B.Pierce (JAC),L.Kuechly (CAR)
R.Greene (JAC),L.Kuechly (CAR)
T.Yeldon (JAC),C.Tillman (CAR)
A.Hurns (JAC),B.Benwikere (CAR)
A.Robinson (JAC),C.Tillman (CAR)
C.Grant (JAC),C.Tillman (CAR)
A.Hurns (JAC),T.Davis (CAR)
A.Hurns (JAC),J.Norman (CAR)
J.Stewart (CAR),D.Skuta (JAC)
D.Funchess (CAR),A.Colvin (JAC)
J.Stewart (CAR),J.Cyprien (JAC)
F.Whittaker (CAR),P.Posluszny (JAC)
C.Brown (CAR),D.Gratz (JAC)
M.Tolbert (CAR),A.Colvin (JAC)
R.Greene (JAC),B.Benwikere (CAR)
T.Yeldon (JAC),L.Kuechly (CAR)
R.Greene (JAC),A.Klein (CAR)
T.Yeldon (JAC),T.Davis (CAR)
T.Ginn (CAR),D.House (JAC)
D.Robinson (JAC),J.Norman (CAR)
J.Cotchery (CAR),T.Smith (JAC)
G.Olsen (CAR),P.Posluszny (JAC)
F.Whittaker (CAR),T.Smith (JAC)
J.Cotchery (CAR),D.McCray (JAC)
R.Greene (JAC),J.Norman (CAR)
D.Robinson (JAC),W.Horton (CAR)
J.Cotchery (CAR),D.House (JAC)
J.Stewart (CAR),D.Gratz (JAC)
J.Stewart (CAR),P.Posluszny (JAC)
B.Walters (JAC),A.Klein (CAR)
B.Walters (JAC),B.Benwikere (CAR)
J.Graham (SEA),T.McDonald (STL)
F.Jackson (SEA),J.Laurinaitis (STL)
T.Lockett (SEA),M.Barron (STL)
T.Austin (STL),B.Irvin (SEA)
J.Cook (STL),B.Wagner (SEA)
B.Cunningham (STL),E.Thomas (SEA)
B.Cunningham (STL),C.Marsh (SEA)
M.Lynch (SEA),R.McLeod (STL)
B.Cunningham (STL),B.Wagner (SEA)
S.Bailey (STL),E.Thomas (SEA)
C.Matthews (SEA),T.Johnson (STL)
T.Lockett (SEA),A.Ayers (STL)
M.Lynch (SEA),A.Donald (STL)
J.Cook (STL),E.Thomas (SEA)
J.Kearse (SEA),J.Jenkins (STL)
D.Baldwin (SEA),A.Ogletree (STL)
T.Lockett (SEA),J.Laurinaitis (STL)
J.Kearse (SEA),L.Joyner (STL)
J.Kearse (SEA),R.McLeod (STL)
K.Britt (STL),C.Williams (SEA)
J.Kearse (SEA),J.Laurinaitis (STL)
D.Baldwin (SEA),J.Jenkins (STL)
J.Graham (SEA),L.Joyner (STL)
J.Graham (SEA),A.Ogletree (STL)
M.Lynch (SEA),M.Roberson (STL)
B.Cunningham (STL),R.Sherman (SEA)
J.Kearse (SEA),M.Roberson (STL)
J.Cook (STL),B.Mebane (SEA)
T.Austin (STL),R.Sherman (SEA)
K.Britt (STL),E.Thomas (SEA)
L.Kendricks (STL),D.Bailey (SEA)
D.Baldwin (SEA),L.Joyner (STL)
S.Bailey (STL),R.Sherman (SEA)
M.Lynch (SEA),W.Hayes (STL)
T.Lockett (SEA),J.Jenkins (STL)
D.Baldwin (SEA),R.McLeod (STL)
M.Floyd (ARI),K.Vaccaro (NO)
D.Fells (ARI),D.Swann (NO)
B.Cooks (NO),T.Mathieu (ARI)
M.Colston (NO),T.Mathieu (ARI)
M.Ingram (NO),C.Campbell (ARI)
L.Fitzgerald (ARI),D.Swann (NO)
K.Robinson (NO),A.Okafor (ARI)
B.Watson (NO),S.Weatherspoon (ARI)
K.Robinson (NO),C.Campbell (ARI)
M.Ingram (NO),D.Bucannon (ARI)
A.Johnson (NO),T.Mathieu (ARI)
B.Cooks (NO),L.Woodley (ARI)
K.Robinson (NO),T.Jefferson (ARI)
B.Coleman (NO),J.Powers (ARI)
B.Watson (NO),D.Bucannon (ARI)
A.Ellington (ARI),D.Breaux (NO)
W.Snead (NO),T.Mathieu (ARI)
A.Johnson (NO),L.Woodley (ARI)
K.Robinson (NO),M.Golden (ARI)
M.Ingram (NO),M.Golden (ARI)
J.Gresham (ARI),H.Kikaha (NO)
M.Ingram (NO),J.Powers (ARI)
L.Fitzgerald (ARI),B.Browner (NO)
K.Robinson (NO),J.Powers (ARI)
B.Cooks (NO),P.Peterson (ARI)
M.Colston (NO),J.Powers (ARI)
M.Ingram (NO),R.Johnson (ARI)
L.Fitzgerald (ARI),D.Hawthorne (NO)
L.Fitzgerald (ARI),D.Breaux (NO)
M.Ingram (NO),K.Minter (ARI)
G.Tate (DET),B.Flowers (SD)
A.Abdullah (DET),D.Butler (SD)
C.Johnson (DET),J.Addae (SD)
J.Bell (DET),E.Weddle (SD)
K.Allen (SD),R.Mathis (DET)
M.Gordon (SD),S.Tulloch (DET)
S.Johnson (SD),S.Tulloch (DET)
