receiver,tackler
J.Maclin (KC),J.Joseph (HOU)
T.Kelce (KC),J.Joseph (HOU)
J.Reed (WAS),R.Jones (MIA)
G.Olsen (CAR),P.Posluszny (JAC)
B.Watson (NO),D.Bucannon (ARI)
L.Fitzgerald (ARI),B.Browner (NO)
M.Jones (CIN),M.Smith (OAK)
M.Crabtree (OAK),D.Kirkpatrick (CIN)
M.Crabtree (OAK),V.Rey (CIN)
K.Aiken (BAL),C.Harris (DEN)
J.Witten (DAL),L.Collins (NYG)
O.Beckham (NYG),B.Church (DAL)
J.Jones (ATL),B.Maxwell (PHI)
D.Freeman (ATL),B.Maxwell (PHI)
D.Freeman (ATL),M.Jenkins (PHI)
J.Tamme (ATL),M.Jenkins (PHI)
J.Maclin (KC),C.Harris (DEN)
D.Thomas (DEN),M.Peters (KC)
A.Brown (PIT),E.Reid (SF)
B.Cooks (NO),L.David (TB)
D.Woodhead (SD),D.Kirkpatrick (CIN)
J.Jones (ATL),L.Collins (NYG)
J.Landry (MIA),A.Colvin (JAC)
J.Landry (MIA),D.House (JAC)
J.Landry (MIA),T.Smith (JAC)
J.Landry (MIA),P.Posluszny (JAC)
K.Aiken (BAL),T.Carrie (OAK)
Z.Ertz (PHI),B.Church (DAL)
J.Witten (DAL),B.Maxwell (PHI)
J.Matthews (PHI),B.Church (DAL)
O.Beckham (NYG),D.Goldson (WAS)
J.Reed (WAS),L.Collins (NYG)
D.Freeman (ATL),B.Church (DAL)
T.Benjamin (CLE),T.Carrie (OAK)
D.Amendola (NE),P.Posluszny (JAC)
D.Amendola (NE),A.Colvin (JAC)
B.Cooks (NO),T.Davis (CAR)
G.Olsen (CAR),B.Browner (NO)
B.Watson (NO),T.Davis (CAR)
B.Marshall (NYJ),B.Maxwell (PHI)
B.Marshall (NYJ),M.Jenkins (PHI)
A.Brown (PIT),T.Johnson (STL)
J.Landry (MIA),C.Graham (BUF)
G.Tate (DET),C.Harris (DEN)
J.Maclin (KC),H.Clinton-Dix (GB)
T.Kelce (KC),H.Clinton-Dix (GB)
K.Aiken (BAL),M.Mitchell (PIT)
B.Marshall (NYJ),R.Jones (MIA)
O.Beckham (NYG),C.Graham (BUF)
O.Beckham (NYG),R.Darby (BUF)
J.Reed (WAS),M.Jenkins (PHI)
D.Freeman (ATL),J.Joseph (HOU)
J.Jones (ATL),J.Joseph (HOU)
J.Maclin (KC),D.Kirkpatrick (CIN)
J.Maclin (KC),V.Rey (CIN)
T.Kelce (KC),V.Rey (CIN)
M.Jones (CIN),M.Peters (KC)
R.Cobb (GB),E.Reid (SF)
L.Fitzgerald (ARI),M.Barron (STL)
L.Fitzgerald (ARI),T.Johnson (STL)
W.Snead (NO),B.Church (DAL)
J.Witten (DAL),B.Browner (NO)
J.Tamme (ATL),D.Goldson (WAS)
J.Jones (ATL),D.Goldson (WAS)
Z.Ertz (PHI),B.Browner (NO)
R.Cobb (GB),T.Johnson (STL)
D.Walker (TEN),C.Graham (BUF)
G.Tate (DET),D.Bucannon (ARI)
T.Riddick (DET),D.Bucannon (ARI)
D.Thomas (DEN),D.Hayden (OAK)
M.Crabtree (OAK),C.Harris (DEN)
J.Tamme (ATL),B.Browner (NO)
B.Marshall (NYJ),D.Goldson (WAS)
M.Jones (CIN),C.Graham (BUF)
M.Jones (CIN),R.Darby (BUF)
T.Benjamin (CLE),C.Harris (DEN)
D.Walker (TEN),R.Jones (MIA)
D.Woodhead (SD),H.Clinton-Dix (GB)
O.Beckham (NYG),B.Maxwell (PHI)
O.Beckham (NYG),M.Jenkins (PHI)
Z.Ertz (PHI),L.Collins (NYG)
J.Matthews (PHI),L.Collins (NYG)
J.Reed (WAS),L.David (TB)
A.Brown (PIT),M.Peters (KC)
T.Kelce (KC),M.Mitchell (PIT)
T.Benjamin (CLE),M.Barron (STL)
T.Benjamin (CLE),T.Johnson (STL)
D.Woodhead (SD),D.Hayden (OAK)
D.Woodhead (SD),T.Carrie (OAK)
J.Matthews (PHI),T.Davis (CAR)
G.Olsen (CAR),B.Maxwell (PHI)
Z.Ertz (PHI),T.Davis (CAR)
Z.Ertz (PHI),L.Kuechly (CAR)
J.Matthews (PHI),L.Kuechly (CAR)
B.Watson (NO),L.Collins (NYG)
W.Snead (NO),L.Collins (NYG)
A.Brown (PIT),D.Kirkpatrick (CIN)
A.Brown (PIT),V.Rey (CIN)
B.Marshall (NYJ),D.Hayden (OAK)
B.Marshall (NYJ),T.Carrie (OAK)
R.Cobb (GB),C.Harris (DEN)
T.Benjamin (CLE),D.Kirkpatrick (CIN)
G.Olsen (CAR),H.Clinton-Dix (GB)
D.Amendola (NE),D.Goldson (WAS)
J.Landry (MIA),R.Darby (BUF)
B.Marshall (NYJ),D.House (JAC)
A.Brown (PIT),D.Hayden (OAK)
A.Cooper (OAK),M.Mitchell (PIT)
J.Tamme (ATL),E.Reid (SF)
D.Freeman (ATL),E.Reid (SF)
J.Jones (ATL),E.Reid (SF)
J.Witten (DAL),M.Jenkins (PHI)
B.Marshall (NYJ),R.Darby (BUF)
G.Tate (DET),H.Clinton-Dix (GB)
T.Riddick (DET),H.Clinton-Dix (GB)
J.Witten (DAL),L.David (TB)
B.Cooks (NO),D.Goldson (WAS)
J.Landry (MIA),M.Jenkins (PHI)
Z.Ertz (PHI),R.Jones (MIA)
T.Benjamin (CLE),M.Mitchell (PIT)
K.Aiken (BAL),T.Smith (JAC)
K.Aiken (BAL),A.Colvin (JAC)
K.Aiken (BAL),D.House (JAC)
D.Amendola (NE),L.Collins (NYG)
M.Jones (CIN),J.Joseph (HOU)
D.Walker (TEN),P.Posluszny (JAC)
D.Walker (TEN),T.Smith (JAC)
G.Tate (DET),D.Hayden (OAK)
G.Tate (DET),M.Smith (OAK)
G.Tate (DET),T.Carrie (OAK)
T.Riddick (DET),D.Hayden (OAK)
T.Riddick (DET),T.Carrie (OAK)
T.Riddick (DET),M.Smith (OAK)
K.Aiken (BAL),T.Johnson (STL)
K.Aiken (BAL),M.Barron (STL)
Z.Ertz (PHI),L.David (TB)
B.Marshall (NYJ),J.Joseph (HOU)
J.Reed (WAS),L.Kuechly (CAR)
M.Jones (CIN),D.Bucannon (ARI)
L.Fitzgerald (ARI),V.Rey (CIN)
D.Amendola (NE),R.Darby (BUF)
T.Riddick (DET),B.Maxwell (PHI)
G.Tate (DET),B.Maxwell (PHI)
G.Tate (DET),M.Jenkins (PHI)
G.Olsen (CAR),B.Church (DAL)
J.Witten (DAL),T.Davis (CAR)
J.Witten (DAL),L.Kuechly (CAR)
